index,shop_entry_id,category,target_id,price_override,weight,stat_version
1101,shop_t1_katana,weapon,T1_Katana,0,10,1
1102,shop_t1_greatsword,weapon,T1_Greatsword,0,10,1
1103,shop_t1_crossbow,weapon,T1_Crossbow,0,10,1
1104,shop_t1_bow,weapon,T1_Bow,0,10,1
1201,shop_t2_katana,weapon,T2_Katana,0,10,1
1202,shop_t2_greatsword,weapon,T2_Greatsword,0,10,1
1203,shop_t2_crossbow,weapon,T2_Crossbow,0,10,1
1204,shop_t2_bow,weapon,T2_Bow,0,10,1
1301,shop_t3_katana,weapon,T3_Katana,0,10,1
1302,shop_t3_greatsword,weapon,T3_Greatsword,0,10,1
1303,shop_t3_crossbow,weapon,T3_Crossbow,0,10,1
1304,shop_t3_bow,weapon,T3_Bow,0,10,1
2101,shop_item_adventure_map,item,item_adventure_map,0,10,1
2102,shop_item_alibaba_coin,item,item_alibaba_coin,0,10,1
2103,shop_item_arabian_nights_lamp_fragment,item,item_arabian_nights_lamp_fragment,0,10,1
2104,shop_item_beauty_beast_rose,item,item_beauty_beast_rose,0,10,1
2105,shop_item_cinderella_shoes,item,item_cinderella_shoes,0,10,1
2106,shop_item_dwarf_pickaxe,item,item_dwarf_pickaxe,0,10,1
2107,shop_item_fairy_sand,item,item_fairy_sand,0,10,1
2108,shop_item_frog_prince_ball,item,item_frog_prince_ball,0,10,1
2109,shop_item_goblin_club_piece,item,item_goblin_club_piece,0,10,1
2110,shop_item_hansel_cookie,item,item_hansel_cookie,0,10,1
2111,shop_item_jack_bean,item,item_jack_bean,0,10,1
2112,shop_item_lightning_fairy_feather,item,item_lightning_fairy_feather,0,10,1
2113,shop_item_magic_mirror_piece,item,item_magic_mirror_piece,0,10,1
2114,shop_item_magic_wand_fragment,item,item_magic_wand_fragment,0,10,1
2115,shop_item_match_girl_match,item,item_match_girl_match,0,10,1
2116,shop_item_mermaid_scale,item,item_mermaid_scale,0,10,1
2117,shop_item_nemo_scale,item,item_nemo_scale,0,10,1
2118,shop_item_nutcracker_teeth,item,item_nutcracker_teeth,0,10,1
2119,shop_item_peter_pan_hat,item,item_peter_pan_hat,0,10,1
2120,shop_item_piggy_straw,item,item_piggy_straw,0,10,1
2121,shop_item_pinocchio_nose,item,item_pinocchio_nose,0,10,1
2122,shop_item_rapunzel_hair,item,item_rapunzel_hair,0,10,1
2123,shop_item_red_hood_cloak,item,item_red_hood_cloak,0,10,1
2124,shop_item_sleeping_beauty_spindle,item,item_sleeping_beauty_spindle,0,10,1
2125,shop_item_snow_white_apple,item,item_snow_white_apple,0,10,1
2126,shop_item_swan_prince_feather,item,item_swan_prince_feather,0,10,1
